unitid,academicyear,instname,cpi_scalar_2012,hepi_scalar_2012,fte_count,tuition03,net_student_tuition,federal10,state09,private03,auxiliary03,other05,grant01,grant02,grant03,grant07,institutional_grant_aid,instruction01,research01,pubserv01,acadsupp01,studserv01,instsupp01,auxiliary01,opermain01,grants01,eandg01,eandg01_sum,eandg01_w_auxother_sum
100706,2000,University of Alabama in Huntsville,0.7439632632434692,0.671555252387449,4870.995919,20587484.0,15446608.0,35284564.0,36688440.0,2680965.0,3092336.0,3863750.0,2404865.0,126482.0,19005.0,5140876.0,2590524.0,28666072.0,32707460.0,923664.0,4632733.0,5870445.0,8301640.0,3032335.0,4943234.0,5140876.0,97574600.0,91186124.0,94218459.0
100706,2001,University of Alabama in Huntsville,0.7694504866741371,0.7118008185538879,4794.696407,22643256.0,16154904.0,37312328.0,36250168.0,9127144.0,3212399.0,3760235.0,2540558.0,128624.0,55850.0,6488353.0,3763321.0,29301748.0,36929272.0,1278953.0,4657619.0,6000774.0,7748222.0,3381741.0,5082272.0,6488353.0,106401944.0,97487213.0,100868954.0
100706,2002,University of Alabama in Huntsville,0.783072968162942,0.725443383356071,4995.887809000001,25169512.0,18556981.0,40390472.0,41014628.0,2268584.0,3340226.0,2521637.0,2919325.0,169872.0,49450.0,6612533.0,3473886.0,31218288.0,35142192.0,1441379.0,4030532.0,6221870.0,8825261.0,2235883.0,6441468.0,730533.0,94051520.0,94051523.0,96736269.0
100706,2003,University of Alabama in Huntsville,0.8002109287456329,0.7622783083219651,5281.007812,28161024.0,20675070.0,41209832.0,41894512.0,1913437.0,4407841.0,2686355.0,3875851.0,81840.0,35283.0,7485954.0,3492980.0,31487060.0,36256240.0,2614994.0,4224330.0,7379666.0,9052078.0,2939869.0,6650125.0,645259.0,98309752.0,98309752.0,101371141.0
100706,2004,University of Alabama in Huntsville,0.8177883242150591,0.790245566166439,5495.088514,31997670.0,23838174.0,46027792.0,41955592.0,2391172.0,4886336.0,2606536.0,3639435.0,225784.0,18983.0,8159495.0,4275293.0,32868400.0,39485540.0,3804260.0,4383913.0,6986483.0,9376108.0,3072659.0,7636922.0,583429.0,105125056.0,105125055.0,108247534.0
100706,2005,University of Alabama in Huntsville,0.842396677872256,0.821282401091405,5530.044904,34497632.0,25972745.0,50078240.0,43772144.0,2684513.0,5468097.0,2754994.0,3688815.0,164965.0,40567.0,8524886.0,4630539.0,36873856.0,42234860.0,4713340.0,5022485.0,8047676.0,9855414.0,3634744.0,7809192.0,569210.0,115126032.0,115126033.0,118817946.0
100706,2006,University of Alabama in Huntsville,0.8744754246039592,0.863233287858117,5555.378647,35788028.0,26700324.0,50801408.0,51944460.0,3115836.0,5250002.0,21910260.0,3852144.0,233192.0,19356.0,9087705.0,4983013.0,39527056.0,48592688.0,3869161.0,5691060.0,9362320.0,11815202.0,2557820.0,9116318.0,641399.0,128615200.0,128615204.0,131322694.0
100706,2007,University of Alabama in Huntsville,0.897053589084437,0.887789904502046,5607.0185546875,37731828.0,28207582.0,53853152.0,65069528.0,1833485.0,6807637.0,2061191.0,3839774.0,646073.0,5251.0,9524245.0,5033147.0,43432556.0,56019612.0,1228713.0,6606014.0,10236140.0,14705918.0,4333935.0,8150195.0,211885.0,140591040.0,140591033.0,145265375.0
100706,2008,University of Alabama in Huntsville,0.930292443917123,0.9317871759890859,5740.067512,41856861.0,31132347.0,63518638.0,66510441.0,2739818.0,6020747.0,2236694.0,4306328.0,511676.0,59430.0,10724514.0,5847080.0,43779703.0,64417660.0,462367.0,7483125.0,10740295.0,15250766.0,2516492.0,9952047.0,510664.0,152596627.0,152596627.0,155584615.0
100706,2009,University of Alabama in Huntsville,0.943282139169029,0.9525920873124151,5850.740607,49171895.0,35856779.0,71799053.0,54597570.0,2644230.0,6404826.0,3479201.0,5205261.0,399110.0,28387.0,13315116.0,7682358.0,46572499.0,65218878.0,267414.0,7093760.0,9494792.0,15673674.0,3329830.0,9434866.0,928253.0,154684136.0,154684136.0,159059059.0
